step	learning_rate
248	7.387387387387387e-05
249	7.372372372372373e-05
250	7.357357357357357e-05
251	7.342342342342343e-05
252	7.327327327327327e-05
253	7.312312312312313e-05
254	7.297297297297297e-05
255	7.282282282282282e-05
256	7.267267267267268e-05
257	7.252252252252253e-05
258	7.237237237237238e-05
259	7.222222222222222e-05
260	7.207207207207208e-05
261	7.192192192192193e-05
262	7.177177177177178e-05
263	7.162162162162162e-05
264	7.147147147147148e-05
265	7.132132132132132e-05
266	7.117117117117116e-05
267	7.102102102102103e-05
268	7.087087087087088e-05
269	7.072072072072072e-05
270	7.057057057057056e-05
271	7.042042042042042e-05
272	7.027027027027028e-05
273	7.012012012012012e-05
274	6.996996996996998e-05
275	6.981981981981982e-05
276	6.966966966966967e-05
277	6.951951951951952e-05
278	6.936936936936938e-05
279	6.921921921921922e-05
280	6.906906906906907e-05
281	6.891891891891892e-05
282	6.876876876876878e-05
283	6.861861861861862e-05
284	6.846846846846847e-05
285	6.831831831831832e-05
286	6.816816816816817e-05
287	6.801801801801802e-05
288	6.786786786786787e-05
289	6.771771771771773e-05
290	6.756756756756757e-05
291	6.741741741741741e-05
292	6.726726726726727e-05
293	6.711711711711713e-05
294	6.696696696696697e-05
295	6.681681681681681e-05
296	6.666666666666667e-05
297	6.651651651651653e-05
298	6.636636636636637e-05
299	6.621621621621621e-05
300	6.606606606606607e-05
301	6.591591591591591e-05
302	6.576576576576577e-05
303	6.561561561561563e-05
304	6.546546546546547e-05
305	6.531531531531531e-05
306	6.516516516516516e-05
307	6.501501501501502e-05
308	6.486486486486487e-05
309	6.471471471471472e-05
310	6.456456456456457e-05
311	6.441441441441442e-05
312	6.426426426426426e-05
313	6.411411411411412e-05
314	6.396396396396397e-05
315	6.381381381381382e-05
316	6.366366366366366e-05
317	6.351351351351352e-05
318	6.336336336336337e-05
319	6.321321321321322e-05
320	6.306306306306306e-05
321	6.291291291291292e-05
322	6.276276276276276e-05
323	6.261261261261262e-05
324	6.246246246246246e-05
325	6.231231231231232e-05
326	6.216216216216216e-05
327	6.2012012012012e-05
328	6.186186186186186e-05
329	6.171171171171172e-05
330	6.156156156156156e-05
331	6.141141141141141e-05
332	6.126126126126126e-05
333	6.111111111111112e-05
334	6.0960960960960964e-05
335	6.0810810810810814e-05
336	6.0660660660660665e-05
337	6.051051051051051e-05
338	6.0360360360360365e-05
339	6.0210210210210215e-05
340	6.0060060060060066e-05
341	5.990990990990991e-05
342	5.975975975975976e-05
343	5.9609609609609616e-05
344	5.9459459459459466e-05
345	5.9309309309309317e-05
346	5.915915915915916e-05
347	5.900900900900901e-05
348	5.8858858858858854e-05
349	5.870870870870872e-05
350	5.855855855855856e-05
351	5.840840840840841e-05
352	5.825825825825826e-05
353	5.8108108108108105e-05
354	5.795795795795796e-05
355	5.780780780780781e-05
356	5.765765765765766e-05
357	5.7507507507507506e-05
358	5.7357357357357356e-05
359	5.720720720720721e-05
360	5.705705705705706e-05
361	5.6906906906906906e-05
362	5.6756756756756757e-05
363	5.660660660660661e-05
364	5.6456456456456464e-05
365	5.6306306306306314e-05
366	5.615615615615616e-05
367	5.600600600600601e-05
368	5.585585585585585e-05
369	5.5705705705705715e-05
370	5.555555555555556e-05
371	5.540540540540541e-05
372	5.525525525525526e-05
373	5.51051051051051e-05
374	5.4954954954954966e-05
375	5.480480480480481e-05
376	5.465465465465466e-05
377	5.45045045045045e-05
378	5.435435435435435e-05
379	5.420420420420421e-05
380	5.405405405405406e-05
381	5.390390390390391e-05
382	5.3753753753753754e-05
383	5.3603603603603604e-05
384	5.345345345345346e-05
385	5.330330330330331e-05
386	5.3153153153153155e-05
387	5.3003003003003005e-05
388	5.2852852852852855e-05
389	5.27027027027027e-05
390	5.2552552552552556e-05
391	5.2402402402402406e-05
392	5.2252252252252256e-05
393	5.21021021021021e-05
394	5.195195195195195e-05
395	5.180180180180181e-05
396	5.165165165165166e-05
397	5.15015015015015e-05
398	5.135135135135135e-05
399	5.12012012012012e-05
400	5.105105105105106e-05
401	5.090090090090091e-05
402	5.075075075075075e-05
403	5.06006006006006e-05
404	5.0450450450450445e-05
405	5.030030030030031e-05
406	5.015015015015015e-05
407	5e-05
408	4.984984984984985e-05
409	4.96996996996997e-05
410	4.954954954954955e-05
411	4.93993993993994e-05
412	4.9249249249249253e-05
413	4.90990990990991e-05
414	4.8948948948948954e-05
415	4.87987987987988e-05
416	4.8648648648648654e-05
417	4.8498498498498504e-05
418	4.834834834834835e-05
419	4.8198198198198205e-05
420	4.804804804804805e-05
421	4.78978978978979e-05
422	4.774774774774775e-05
423	4.75975975975976e-05
424	4.744744744744745e-05
425	4.72972972972973e-05
426	4.714714714714715e-05
427	4.6996996996997e-05
428	4.684684684684685e-05
429	4.66966966966967e-05
430	4.654654654654655e-05
431	4.6396396396396394e-05
432	4.624624624624625e-05
433	4.6096096096096094e-05
434	4.594594594594595e-05
435	4.57957957957958e-05
436	4.5645645645645645e-05
437	4.54954954954955e-05
438	4.5345345345345345e-05
439	4.5195195195195196e-05
440	4.5045045045045046e-05
441	4.4894894894894896e-05
442	4.4744744744744746e-05
443	4.4594594594594596e-05
444	4.4444444444444447e-05
445	4.42942942942943e-05
446	4.414414414414415e-05
447	4.3993993993994e-05
448	4.384384384384385e-05
449	4.369369369369369e-05
450	4.354354354354355e-05
451	4.339339339339339e-05
452	4.324324324324325e-05
453	4.30930930930931e-05
454	4.294294294294294e-05
455	4.27927927927928e-05
456	4.264264264264264e-05
457	4.24924924924925e-05
458	4.234234234234234e-05
459	4.219219219219219e-05
460	4.204204204204204e-05
461	4.189189189189189e-05
462	4.1741741741741744e-05
463	4.1591591591591594e-05
464	4.1441441441441444e-05
465	4.1291291291291294e-05
466	4.1141141141141144e-05
467	4.099099099099099e-05
468	4.0840840840840845e-05
469	4.069069069069069e-05
470	4.0540540540540545e-05
471	4.0390390390390395e-05
472	4.024024024024024e-05
473	4.0090090090090096e-05
474	3.993993993993994e-05
475	3.9789789789789796e-05
476	3.963963963963964e-05
477	3.948948948948949e-05
478	3.933933933933934e-05
479	3.918918918918919e-05
480	3.903903903903904e-05
481	3.888888888888889e-05
482	3.873873873873874e-05
483	3.858858858858859e-05
484	3.843843843843844e-05
485	3.8288288288288285e-05
486	3.813813813813814e-05
487	3.7987987987987985e-05
488	3.783783783783784e-05
489	3.768768768768769e-05
490	3.7537537537537536e-05
491	3.738738738738739e-05
492	3.7237237237237236e-05
493	3.708708708708709e-05
494	3.693693693693694e-05
495	3.678678678678679e-05
496	3.663663663663664e-05
497	3.648648648648649e-05
498	3.633633633633634e-05
499	3.618618618618619e-05
500	3.603603603603604e-05
501	3.588588588588589e-05
502	3.573573573573574e-05
503	3.558558558558558e-05
504	3.543543543543544e-05
505	3.528528528528528e-05
506	3.513513513513514e-05
507	3.498498498498499e-05
508	3.483483483483483e-05
509	3.468468468468469e-05
510	3.453453453453453e-05
511	3.438438438438439e-05
512	3.4234234234234234e-05
513	3.4084084084084084e-05
514	3.3933933933933934e-05
515	3.3783783783783784e-05
516	3.3633633633633635e-05
517	3.3483483483483485e-05
518	3.3333333333333335e-05
519	3.3183183183183185e-05
520	3.3033033033033035e-05
521	3.2882882882882886e-05
522	3.2732732732732736e-05
523	3.258258258258258e-05
524	3.2432432432432436e-05
525	3.2282282282282286e-05
526	3.213213213213213e-05
527	3.198198198198199e-05
528	3.183183183183183e-05
529	3.168168168168169e-05
530	3.153153153153153e-05
531	3.138138138138138e-05
532	3.123123123123123e-05
533	3.108108108108108e-05
534	3.093093093093093e-05
535	3.078078078078078e-05
536	3.063063063063063e-05
537	3.0480480480480482e-05
538	3.0330330330330332e-05
539	3.0180180180180183e-05
540	3.0030030030030033e-05
541	2.987987987987988e-05
542	2.9729729729729733e-05
543	2.957957957957958e-05
544	2.9429429429429427e-05
545	2.927927927927928e-05
546	2.912912912912913e-05
547	2.897897897897898e-05
548	2.882882882882883e-05
549	2.8678678678678678e-05
550	2.852852852852853e-05
551	2.8378378378378378e-05
552	2.8228228228228232e-05
553	2.807807807807808e-05
554	2.7927927927927926e-05
555	2.777777777777778e-05
556	2.762762762762763e-05
557	2.7477477477477483e-05
558	2.732732732732733e-05
559	2.7177177177177177e-05
560	2.702702702702703e-05
561	2.6876876876876877e-05
562	2.672672672672673e-05
563	2.6576576576576577e-05
564	2.6426426426426428e-05
565	2.6276276276276278e-05
566	2.6126126126126128e-05
567	2.5975975975975975e-05
568	2.582582582582583e-05
569	2.5675675675675675e-05
570	2.552552552552553e-05
571	2.5375375375375376e-05
572	2.5225225225225222e-05
573	2.5075075075075076e-05
574	2.4924924924924926e-05
575	2.4774774774774777e-05
576	2.4624624624624627e-05
577	2.4474474474474477e-05
578	2.4324324324324327e-05
579	2.4174174174174174e-05
580	2.4024024024024024e-05
581	2.3873873873873874e-05
582	2.3723723723723725e-05
583	2.3573573573573575e-05
584	2.3423423423423425e-05
585	2.3273273273273275e-05
586	2.3123123123123125e-05
587	2.2972972972972976e-05
588	2.2822822822822822e-05
589	2.2672672672672673e-05
590	2.2522522522522523e-05
591	2.2372372372372373e-05
592	2.2222222222222223e-05
593	2.2072072072072073e-05
594	2.1921921921921924e-05
595	2.1771771771771774e-05
596	2.1621621621621624e-05
597	2.147147147147147e-05
598	2.132132132132132e-05
599	2.117117117117117e-05
600	2.102102102102102e-05
601	2.0870870870870872e-05
602	2.0720720720720722e-05
603	2.0570570570570572e-05
604	2.0420420420420422e-05
605	2.0270270270270273e-05
606	2.012012012012012e-05
607	1.996996996996997e-05
608	1.981981981981982e-05
609	1.966966966966967e-05
610	1.951951951951952e-05
611	1.936936936936937e-05
612	1.921921921921922e-05
613	1.906906906906907e-05
614	1.891891891891892e-05
615	1.8768768768768768e-05
616	1.8618618618618618e-05
617	1.846846846846847e-05
618	1.831831831831832e-05
619	1.816816816816817e-05
620	1.801801801801802e-05
621	1.786786786786787e-05
622	1.771771771771772e-05
623	1.756756756756757e-05
624	1.7417417417417416e-05
625	1.7267267267267267e-05
626	1.7117117117117117e-05
627	1.6966966966966967e-05
628	1.6816816816816817e-05
629	1.6666666666666667e-05
630	1.6516516516516518e-05
631	1.6366366366366368e-05
632	1.6216216216216218e-05
633	1.6066066066066065e-05
634	1.5915915915915915e-05
635	1.5765765765765765e-05
636	1.5615615615615616e-05
637	1.5465465465465466e-05
638	1.5315315315315316e-05
639	1.5165165165165166e-05
640	1.5015015015015016e-05
641	1.4864864864864867e-05
642	1.4714714714714713e-05
643	1.4564564564564565e-05
644	1.4414414414414416e-05
645	1.4264264264264266e-05
646	1.4114114114114116e-05
647	1.3963963963963963e-05
648	1.3813813813813815e-05
649	1.3663663663663665e-05
650	1.3513513513513515e-05
651	1.3363363363363365e-05
652	1.3213213213213214e-05
653	1.3063063063063064e-05
654	1.2912912912912914e-05
655	1.2762762762762764e-05
656	1.2612612612612611e-05
657	1.2462462462462463e-05
658	1.2312312312312313e-05
659	1.2162162162162164e-05
660	1.2012012012012012e-05
661	1.1861861861861862e-05
662	1.1711711711711713e-05
663	1.1561561561561563e-05
664	1.1411411411411411e-05
665	1.1261261261261261e-05
666	1.1111111111111112e-05
667	1.0960960960960962e-05
668	1.0810810810810812e-05
669	1.066066066066066e-05
670	1.051051051051051e-05
671	1.0360360360360361e-05
672	1.0210210210210211e-05
673	1.006006006006006e-05
674	9.90990990990991e-06
675	9.75975975975976e-06
676	9.60960960960961e-06
677	9.45945945945946e-06
678	9.309309309309309e-06
679	9.15915915915916e-06
680	9.00900900900901e-06
681	8.85885885885886e-06
682	8.708708708708708e-06
683	8.558558558558558e-06
684	8.408408408408409e-06
685	8.258258258258259e-06
686	8.108108108108109e-06
687	7.957957957957958e-06
688	7.807807807807808e-06
689	7.657657657657658e-06
690	7.507507507507508e-06
691	7.357357357357357e-06
692	7.207207207207208e-06
693	7.057057057057058e-06
694	6.906906906906907e-06
695	6.7567567567567575e-06
696	6.606606606606607e-06
697	6.456456456456457e-06
698	6.306306306306306e-06
699	6.156156156156157e-06
700	6.006006006006006e-06
701	5.855855855855856e-06
702	5.705705705705706e-06
703	5.555555555555556e-06
704	5.405405405405406e-06
705	5.255255255255255e-06
706	5.105105105105106e-06
707	4.954954954954955e-06
708	4.804804804804805e-06
709	4.6546546546546545e-06
710	4.504504504504505e-06
711	4.354354354354354e-06
712	4.204204204204204e-06
713	4.0540540540540545e-06
714	3.903903903903904e-06
715	3.753753753753754e-06
716	3.603603603603604e-06
717	3.4534534534534537e-06
718	3.3033033033033035e-06
719	3.153153153153153e-06
720	3.003003003003003e-06
721	2.852852852852853e-06
722	2.702702702702703e-06
723	2.552552552552553e-06
724	2.4024024024024026e-06
725	2.2522522522522524e-06
726	2.102102102102102e-06
727	1.951951951951952e-06
728	1.801801801801802e-06
729	1.6516516516516517e-06
730	1.5015015015015015e-06
731	1.3513513513513515e-06
732	1.2012012012012013e-06
733	1.051051051051051e-06
734	9.00900900900901e-07
735	7.507507507507508e-07
736	6.006006006006006e-07
737	4.504504504504505e-07
738	3.003003003003003e-07
739	1.5015015015015016e-07
740	0.0
