step	loss
463	0.236
464	0.234
465	0.2183
466	0.2553
467	0.2384
468	0.2198
469	0.2016
470	0.2482
471	0.2446
472	0.2647
473	0.247
474	0.2487
475	0.225
476	0.2279
477	0.2287
478	0.2388
479	0.2337
480	0.2378
481	0.2317
482	0.2153
483	0.242
484	0.2241
485	0.2301
486	0.2231
487	0.2329
488	0.2079
489	0.2531
490	0.226
491	0.2231
492	0.2208
493	0.233
494	0.2054
495	0.2411
496	0.2454
497	0.2232
498	0.2298
499	0.2217
500	0.2342
501	0.2321
502	0.2256
503	0.2378
504	0.2221
505	0.2145
506	0.2207
507	0.2383
508	0.2158
509	0.2536
510	0.2217
511	0.235
512	0.2382
513	0.2425
514	0.2284
515	0.2245
516	0.2494
517	0.262
518	0.2338
519	0.2279
520	0.2373
521	0.2148
522	0.2271
523	0.2319
524	0.2368
525	0.2213
526	0.2157
527	0.214
528	0.2216
529	0.2425
530	0.2213
531	0.2164
532	0.2354
533	0.21
534	0.22
535	0.2186
536	0.2315
537	0.2182
538	0.2322
539	0.2219
540	0.2284
541	0.2164
542	0.2332
543	0.2232
544	0.2366
545	0.2213
546	0.224
547	0.2071
548	0.2298
549	0.2453
550	0.2227
551	0.2219
552	0.2159
553	0.217
554	0.2341
555	0.2209
556	0.2213
557	0.2268
558	0.2214
559	0.2105
560	0.1961
561	0.2085
562	0.2151
563	0.2127
564	0.2077
565	0.2029
566	0.2195
567	0.2318
568	0.2057
569	0.2118
570	0.2084
571	0.213
572	0.2236
573	0.2248
574	0.2315
575	0.2052
576	0.2123
577	0.1912
578	0.2069
579	0.2262
580	0.2288
581	0.2249
582	0.2119
583	0.2141
584	0.2261
585	0.2343
586	0.2292
587	0.2306
588	0.2262
589	0.2017
590	0.2296
591	0.2259
592	0.2177
593	0.2129
594	0.2143
595	0.2113
596	0.1781
597	0.2296
598	0.2139
599	0.2156
600	0.1934
601	0.2065
602	0.2215
603	0.2125
604	0.2051
605	0.2166
606	0.2302
607	0.2166
608	0.2162
609	0.2195
610	0.2149
611	0.2109
612	0.2158
613	0.2063
614	0.2028
615	0.2228
616	0.2247
617	0.2377
618	0.1885
619	0.2189
620	0.2178
621	0.2255
622	0.2121
623	0.2104
624	0.1978
625	0.2123
626	0.233
627	0.1883
628	0.2323
629	0.2084
630	0.2384
631	0.214
632	0.202
633	0.2228
634	0.205
635	0.2101
636	0.2238
637	0.1991
638	0.2059
639	0.2155
640	0.1941
641	0.2202
642	0.2107
643	0.229
644	0.2076
645	0.2104
646	0.2288
647	0.2006
648	0.2089
649	0.2057
650	0.2174
651	0.2146
652	0.2125
653	0.2153
654	0.2035
655	0.2087
656	0.2037
657	0.2096
658	0.1993
659	0.196
660	0.212
661	0.2083
662	0.2192
663	0.2127
664	0.2122
665	0.2049
666	0.2411
667	0.2024
668	0.2089
669	0.208
670	0.217
671	0.2061
672	0.2051
673	0.2284
674	0.1822
675	0.2129
676	0.21
677	0.2061
678	0.1973
679	0.1949
680	0.1867
681	0.2081
682	0.2236
683	0.2066
684	0.2015
685	0.2333
686	0.2098
687	0.2123
688	0.2045
689	0.1992
690	0.222
691	0.2136
692	0.2242
693	0.2092
694	0.2
695	0.1934
696	0.1944
697	0.1887
698	0.1993
699	0.1956
700	0.2044
701	0.1997
702	0.2093
703	0.2009
704	0.2144
705	0.2051
706	0.2099
707	0.1942
708	0.204
709	0.218
710	0.2077
711	0.2017
712	0.1977
713	0.1986
714	0.2241
715	0.1994
716	0.2116
717	0.2079
718	0.2127
719	0.199
720	0.2105
721	0.2127
722	0.217
723	0.2044
724	0.1982
725	0.2043
726	0.2025
727	0.1894
728	0.215
729	0.1982
730	0.2097
731	0.2333
732	0.1962
733	0.201
734	0.2124
735	0.1951
736	0.2226
737	0.209
738	0.2032
739	0.1981
740	0.2204
